step,phase,ee_x,ee_y,ee_z,joint_base,joint_shoulder,joint_elbow,joint_wrist_pitch,joint_wrist_roll,joint_left_finger,joint_right_finger
133,joint0_neg,-0.08793531358242035,0.01000554021447897,0.3377287983894348,-0.11329569667577744,-0.13060349225997925,-0.7948231101036072,-0.10792741924524307,-0.00358391716144979,0.31077638268470764,-0.37346917390823364
134,joint0_neg,-0.08796987682580948,0.01080363430082798,0.33779177069664,-0.1221989095211029,-0.132778137922287,-0.7916989326477051,-0.10759933292865753,-0.0010692382929846644,0.3110562264919281,-0.3788377642631531
135,joint0_neg,-0.08799135684967041,0.011602770537137985,0.3378528952598572,-0.13110657036304474,-0.13485297560691833,-0.7889302968978882,-0.10686720907688141,0.0017167995683848858,0.31117764115333557,-0.38458436727523804
136,joint0_neg,-0.08799950778484344,0.012402781285345554,0.337912380695343,-0.14001920819282532,-0.1368272304534912,-0.7865058183670044,-0.10575328767299652,0.0047972840256989,0.31116923689842224,-0.39070844650268555
137,joint0_neg,-0.08799433708190918,0.013203458860516548,0.337970495223999,-0.14893794059753418,-0.1386999934911728,-0.7844297885894775,-0.10424655675888062,0.008220900781452656,0.3110422194004059,-0.39725977182388306
138,joint0_neg,-0.0879753828048706,0.014004788361489773,0.3380275070667267,-0.15786497294902802,-0.1404726207256317,-0.7826789021492004,-0.10237801820039749,0.0120747284963727,0.3108521103858948,-0.40429526567459106
139,joint0_neg,-0.08794212341308594,0.014806639403104782,0.33808407187461853,-0.16680338978767395,-0.1421428918838501,-0.7812536358833313,-0.10013925284147263,0.016486968845129013,0.31064000725746155,-0.4119347035884857
140,joint0_neg,-0.08785513043403625,0.015589422546327114,0.33812078833580017,-0.17561650276184082,-0.14164231717586517,-0.8603330850601196,0.04551028832793236,0.020902302116155624,0.20278166234493256,-0.5235999822616577
141,joint0_neg,-0.08679363131523132,0.01612420752644539,0.33737167716026306,-0.18368254601955414,-0.13926465809345245,-1.005105972290039,0.3055938184261322,0.012593267485499382,0.006916601210832596,-0.5236003398895264
142,joint0_neg,-0.0864940732717514,0.01681695319712162,0.3370884656906128,-0.19203303754329681,-0.13992169499397278,-1.0296380519866943,0.3502156734466553,0.016512805595993996,-3.208296277534828e-07,-0.5225071310997009
